date,PPC_Brand_Spend,PPC_Generic_Spend,Display_Spend,Social_Spend,TV_Spend,OOH_Spend,Meta_Spend,Yahoo_Spend,competitor_spend,google_trend_competitor,opportunities,sales
2020-01-06,33606.667082799206,12359.07521636279,9986.110338519498,7553.655262577213,23057.16618358653,12462.531064940755,5376.92917662896,2276.638236789595,52119.48463890039,48.90218638530995,2169.3685357174622,258.9493538941995
2020-01-13,24275.88404885704,14434.73830995244,15002.644017630975,8079.099845533928,20604.238251305458,11626.697706989227,5276.868373067504,1949.0540374981304,45134.45250371349,55.0109032063364,2450.7235798497754,303.5215320597267
2020-01-20,24797.57432568029,12666.33024317081,13383.768499996333,8005.6649414521235,27517.645795399156,12093.366880280419,4735.128755177784,2502.3086504773005,47586.04724886988,41.571041980430294,2279.740794022632,278.0438558211747
2020-01-27,26171.562213881272,13672.546166745331,9969.789473516861,9366.027541429485,27408.503166870632,10475.850460237707,4423.838650678503,2091.1486814338605,47584.8297605306,38.53778293191379,2260.4000385491263,259.510068678001
2020-02-03,19477.34674086414,15188.49149506485,10692.893859112519,8434.097169599061,27195.061693295695,9135.303112858193,4886.156988773544,1848.1644211206606,42198.477103932135,31.739803442390787,2182.9257998165576,253.1339997438787
2020-02-10,17647.464902649095,15997.525400566854,11063.03560654281,6442.742458539717,24472.837962233323,8727.281686073948,4151.441455589435,1494.131752892826,47530.64782350141,49.563917013806595,2393.720448041682,280.57768670044265
2020-02-17,19931.95562994578,18450.73856339147,12719.851151644567,5979.573748972802,22832.124123994236,7269.3585091242585,3861.4696176211105,1929.9282117143994,41504.399878399694,56.65637786587168,2564.6727379028516,300.9220492128799
2020-02-24,20717.28511902815,19217.97052586777,14019.95419860147,6585.468641654209,24610.996277719107,6294.032498206342,4203.847499544479,2197.8355607340604,42342.30893509301,37.70356116361443,2211.4522919102765,264.65195706037866
2020-03-02,22268.898176785387,20502.108699217377,13110.356824006518,6759.651085627256,22579.24080352889,7449.218705755603,4933.307274132736,2892.166551213924,50368.03784132192,28.052755917771737,1967.112783928386,240.9706864560609
2020-03-09,21309.59414500489,18118.76676340206,11378.68431712252,5335.1676449149545,22523.674711687516,8389.874549137403,5704.082555804633,2226.7648346826386,49606.81675381493,31.383439347357495,2059.7668588696215,257.21329039799235
2020-03-16,25683.85589101889,20125.9277771887,11506.489125208618,4970.953907674928,20352.90873092394,6817.820832950289,5042.537957946228,2691.0758370879694,41930.98026676705,31.327229781306595,2068.3954890976956,250.67285940152414
2020-03-23,28801.20200409496,23359.736037751372,10099.39916846541,4745.123182757269,18521.68877737158,7544.257206112701,5711.636042735603,2623.4130393060796,41817.07945255763,24.46672616043017,1943.7369462248791,229.6829970985598
2020-03-30,28580.68842117476,33608.623336472345,9716.96559258161,4645.124827419407,15193.129036094384,7122.040235679517,5108.156559059408,2870.1173580615414,42186.60820329892,45.13147882954805,2341.9063114790306,264.37082742844467
2020-04-06,32335.780706423913,42534.50310609165,10481.93889864502,3993.073069938385,12385.066566309493,7259.344682966642,6597.690294845714,2307.7539898924406,48420.65342780379,48.60550237549908,2296.1600542258593,276.1039231104418
2020-04-13,32335.021950602102,35515.12430096627,8985.73771600835,3899.6779552664425,23863.86963089877,7512.116430484106,5551.895369916428,2962.360075055546,40717.745780680365,52.68293248330399,2403.3316113014703,288.6059549057363
2020-04-20,27485.384379179002,25932.47510996479,9403.014018780455,3742.486692774427,21034.6720015807,8266.146919580273,6783.96442949712,3265.478112675537,46634.180233628555,46.610226392785485,2233.0595073302993,269.4305709079476
2020-04-27,28502.961576205504,25210.306404501032,9366.915910864254,4309.478302430713,16482.769633959466,7972.981954962664,6198.794110346905,3201.6386693396103,48489.49472308505,53.06637429165241,2303.60403823342,293.282406969637
2020-05-04,24702.088752866875,19511.52095542187,7547.977303598216,4695.08146112056,16370.463338723954,9250.116761489593,8199.9601069448,3482.5111345240484,44604.64246449155,49.40963734546583,2181.902960972472,271.7531276862412
2020-05-11,27798.13145318221,20389.09972940279,8129.632609832074,4388.4573258845,16531.351792513688,9055.159110254379,8444.00131992096,3147.539952943299,49782.76597895616,47.26096448671267,2175.054584274104,267.2870374588923
2020-05-18,26553.06918277088,17584.898492495322,8123.653211263554,4050.5882530275976,12835.226445948801,9418.954428972875,7224.966353754857,3049.985017577641,43651.230534229195,52.69678726797222,2204.746196126871,256.8729264946517
2020-05-25,25037.119460549522,15927.197064995515,7447.705658985534,4079.7375140870126,12735.388882912976,8247.58832839579,12688.313725980724,3061.135058051456,44047.86703121146,39.12544929389538,2044.854744096726,241.27861129803318
2020-06-01,22384.347858669888,17155.977566135934,6260.725697292319,3645.411036883652,14994.571778295409,11022.080088541514,12086.294651327133,2618.9127040679205,40810.43737288443,54.07658231392416,2239.5201227998677,267.9836578805561
2020-06-08,25751.138110809832,14035.393081454975,5462.762288820129,3255.704712656163,16825.195192234005,11062.163872792686,12290.40331778976,3298.261653096174,49818.192299066286,54.72037956893033,2205.353731371678,258.4391907725185
2020-06-15,23518.52824532394,11292.519700869245,5143.760649389972,3106.9284700487387,15270.693093358157,20924.765920573143,11017.425493336552,4003.2727124661105,41679.54350760656,64.02385732538767,2431.9577181443647,295.8386423772047
2020-06-22,21087.715801721813,10228.8493191369,5584.835558314488,3139.172348511348,30650.64371198719,13558.334047145774,10542.626306643764,3625.3264512529727,46601.82351279366,52.61572780735958,2234.471043003808,270.99179595418263
2020-06-29,19474.453586497457,10520.080929336356,4891.498261952588,2984.425349837978,30177.67999471954,11439.058656463289,11291.127627385222,3854.7863742322484,44680.21932825681,44.707261253662125,2077.886894180943,240.6399649572756
2020-07-06,20194.787261666446,8288.171855783135,5282.30561630832,3413.6982913498646,29495.088177655896,24020.96227828757,11058.86028940531,3718.2752739846665,40503.32961540057,36.4706072301312,1998.648066166324,249.41230161272787
2020-07-13,19904.161600852105,16426.285090065325,4530.429819850304,4028.281211416817,26630.886169283087,19605.294112487925,9268.263563826247,3883.103711290936,42340.842984296665,41.178867165423675,2094.943187000418,252.21166511052104
2020-07-20,19479.534899068833,12219.806254838322,4644.685758433272,3437.479866128517,24260.05462239561,13399.61275412863,8805.139338439214,3538.1197073070734,51673.73956427883,43.470960147684906,2069.3821577818153,234.49328975987981
2020-07-27,18920.098636214523,12224.07043152346,4913.223700870551,3813.308827713064,22804.549240426408,15125.852545411017,9694.599925696737,3202.393214391365,45916.67055437837,41.06147356429848,2081.179672496603,249.3308178328326
2020-08-03,22422.512053509494,7930.695121370703,6775.009922221711,4020.027354171216,25443.42177535324,13710.799028486486,11627.615830590716,3747.0580186152865,40680.44278196902,34.73662530835655,1981.4744241621743,240.02658254684414
2020-08-10,18159.48743918411,7218.244543545363,5312.162302850919,4521.714337134785,26914.070988364896,16447.62053116752,13722.739299334798,3586.0709865186877,46395.168121868286,27.656530088838505,1842.7629442276314,228.91389219880168
